Car_Name,Present_Price,Selling_Price,City,Year,Kms_Driven,Fuel_Type,HorsePower,Transmission,Certified,Seller_Type,Distance2
Adam Revo  2006 1051cc,320000.0,320000,Okara,2006,50000.0,Petrol,1100cc,Manual,Not Certified,Customer,50000
Adam Revo  2023 ,0.0,13799999,Karachi,2023,18000.0,Diesel,2800cc,Automatic,Not Certified,Customer,18000
Audi A1  1985 ,300000.0,300000,Multan,1985,200000.0,Petrol,1000cc,Manual,Not Certified,Customer,200000
Audi A3  2014 1.8 TFSI Quattro,6250000.0,6250000,Multan,2014,67000.0,Petrol,1800cc,Automatic,Not Certified,Customer,67000
Audi A3  2014 1.8 TFSI quattro,6700000.0,6700000,Lahore,2014,159000.0,Petrol,1800cc,Automatic,Not Certified,Customer,159000
Audi A3  2015 1.2 TFSI Design Line ,6700000.0,6700000,Karachi,2015,90000.0,Petrol,1200cc,Automatic,Not Certified,Customer,90000
Audi A3  2015 1.2 TFSI Exclusive Line,6500000.0,6500000,Lahore,2015,160000.0,Petrol,1200cc,Automatic,Not Certified,Customer,160000
Audi A3  2015 1.8 TFSI,7350000.0,7350000,Faisalabad,2015,85000.0,Petrol,1800cc,Automatic,Not Certified,Customer,85000
Audi A3  2016 1.2 TFSI Exclusive Line,5950000.0,5950000,Islamabad,2016,80000.0,Petrol,1200cc,Automatic,Not Certified,Customer,80000
Audi A3  2016 1.8 TFSI,7500000.0,7500000,Islamabad,2016,60000.0,Petrol,1800cc,Automatic,Not Certified,Customer,60000
Audi A3  2017 1.2 TFSI,7400000.0,7400000,Karachi,2017,65000.0,Petrol,1200cc,Automatic,Not Certified,Customer,65000
Audi A3  2017 1.2 TFSI Design Line ,7300000.0,7300000,Lahore,2017,78000.0,Petrol,1200cc,Automatic,Not Certified,Customer,78000
Audi A3  2017 1.2 TFSI Exclusive Line,7150000.0,7150000,Lahore,2017,72500.0,Petrol,1200cc,Automatic,Not Certified,Customer,72500
