Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission
Adam Revo  2006 1051cc,2006,320000,320000,50000,Petrol,Customer,Manual
Adam Revo  2023 ,2023,13799999,13799999,18000,Diesel,Customer,Automatic
Audi A1  1985 ,1985,300000,300000,200000,Petrol,Customer,Manual
Audi A3  2014 1.8 TFSI Quattro,2014,6250000,6250000,67000,Petrol,Customer,Automatic
Audi A3  2014 1.8 TFSI quattro,2014,6700000,6700000,159000,Petrol,Customer,Automatic
Audi A3  2015 1.2 TFSI Design Line ,2015,6700000,6700000,90000,Petrol,Customer,Automatic
Audi A3  2015 1.2 TFSI Exclusive Line,2015,6500000,6500000,160000,Petrol,Customer,Automatic
Audi A3  2015 1.8 TFSI,2015,7350000,7350000,85000,Petrol,Customer,Automatic
Audi A3  2016 1.2 TFSI Exclusive Line,2016,5950000,5950000,80000,Petrol,Customer,Automatic
Audi A3  2016 1.8 TFSI,2016,7500000,7500000,60000,Petrol,Customer,Automatic
Audi A3  2017 1.2 TFSI,2017,7400000,7400000,65000,Petrol,Customer,Automatic
Audi A3  2017 1.2 TFSI Design Line ,2017,7300000,7300000,78000,Petrol,Customer,Automatic
Audi A3  2017 1.2 TFSI Exclusive Line,2017,7150000,7150000,72500,Petrol,Customer,Automatic
Audi A3  2017 1.2 TFSI Standard,2017,7000000,7000000,69000,Petrol,Customer,Automatic
Audi A3  2018 1.2 TFSI,2018,9200000,9200000,82000,Petrol,Customer,Automatic
Audi A3  2018 1.2 TFSI Design Line ,2018,10500000,10500000,74000,Petrol,Customer,Automatic
Audi A3  2018 1.2 TFSI Exclusive Line,2018,10200000,10200000,18100,Petrol,Customer,Automatic
Audi A3  2018 1.2 TFSI Standard,2018,8200000,8200000,44000,Petrol,Customer,Automatic
Audi A3  2019 ,2019,9500000,9500000,26000,Petrol,Customer,Automatic
Audi A3  2019 1.2 TFSI Design Line ,2019,7900000,7900000,74000,Petrol,Customer,Automatic
Audi A3  2019 1.2 TFSI Standard,2019,8000000,8000000,63000,Petrol,Customer,Automatic
Audi A4  2010 ,2010,4450000,4450000,89000,Petrol,Customer,Automatic
Audi A4  2014 1.8 TFSI,2014,7500000,7500000,110000,Petrol,Customer,Automatic
Audi A4  2016 1.4 TFSI ,2016,11200000,11200000,120000,Petrol,Customer,Automatic
Audi A4  2016 S-Line Competition,2016,11600000,11600000,51000,Petrol,Customer,Automatic
Audi A4  2017 1.4 TFSI ,2017,12500000,12500000,148000,Petrol,Customer,Automatic
Audi A4  2017 35 TFSI,2017,12800000,12800000,10000,Petrol,Customer,Automatic
Audi A4  2018 1.4 TFSI ,2018,13899999,13899999,54000,Petrol,Customer,Automatic
Audi A4  2019 1.4 TFSI ,2019,15500000,15500000,42000,Petrol,Customer,Automatic
Audi A4  2019 35 TFSI,2019,12500000,12500000,125660,Petrol,Customer,Automatic
Audi A4 4th (B8) Generation 2007 1.8T Cabriolet,2007,4700000,4700000,106000,Petrol,Customer,Automatic
Audi A4 4th (B8) Generation 2011 1.8 TFSI,2011,6700000,6700000,165251,Petrol,Customer,Automatic
Audi A4 4th (B8) Generation 2011 S-Line Competition,2011,7000000,7000000,166835,Petrol,PakWheels,Automatic
Audi A4 4th (B8) Generation 2012 1.8 TFSI,2012,7400000,7400000,167000,Petrol,Customer,Automatic
Audi A4 4th (B8) Generation 2013 1.8 TFSI,2013,7400000,7400000,76000,Petrol,Customer,Automatic
Audi A4 4th (B8) Generation 2013 1.8T Cabriolet,2013,7250000,7250000,104000,Petrol,Customer,Automatic
Audi A4 4th (B8) Generation 2015 1.8 TFSI,2015,6500000,6500000,87000,Petrol,Customer,Automatic
Audi A4 4th (B8) Generation 2015 S-Line Competition,2015,7490000,7490000,95000,Petrol,Customer,Automatic
Audi A4 4th (B8) Generation 2016 2.0 TFSI,2016,10300000,10300000,146000,Petrol,Customer,Automatic
Audi A5  2009 1.8 TFSI,2009,7300000,7300000,114000,Petrol,Customer,Automatic
Audi A5  2010 2.0 TFSI Quattro,2010,8950000,8950000,47000,Petrol,Customer,Automatic
Audi A5  2010 S-Line Competition,2010,11000000,11000000,80000,Petrol,Customer,Automatic
Audi A5  2013 1.8 TFSI,2013,6500000,6500000,75554,Petrol,Customer,Automatic
Audi A5  2013 2.0 TFSI quattro,2013,7000000,7000000,75492,Petrol,Customer,Automatic
Audi A5  2014 1.8 TFSI,2014,9500000,9500000,44643,Petrol,PakWheels,Automatic
Audi A5  2014 2.0 TFSI quattro,2014,6990000,6990000,113000,Petrol,Customer,Automatic
Audi A5  2018 1.4 TFSI Sportback,2018,18400000,18400000,28500,Petrol,Customer,Automatic
Audi A5  2019 1.4 TFSI Sportback,2019,19000000,19000000,15000,Petrol,Customer,Automatic
Audi A5  2019 40 TFSI quattro S tronic,2019,18000000,18000000,39000,Petrol,Customer,Automatic
Audi A6  2015 ,2015,12000000,12000000,62000,Petrol,Customer,Automatic
Audi A6  2015 1.8 TFSI ,2015,10700000,10700000,153000,Petrol,Customer,Automatic
Audi A6  2015 1.8 TFSI Business Class Edition,2015,11500000,11500000,145000,Petrol,Customer,Automatic
Audi A6  2016 3.0 TFSI quattro,2016,12000000,12000000,66000,Petrol,Customer,Automatic
Audi A6  2017 ,2017,16200000,16200000,47000,Petrol,Customer,Automatic
Audi A6  2017 1.8 TFSI Business Class Edition,2017,15500000,15500000,76541,Petrol,Customer,Automatic
Audi A6  2018 1.8 TFSI ,2018,17200000,17200000,49120,Petrol,Customer,Automatic
Audi A6  2018 1.8 TFSI Business Class Edition,2018,16500000,16500000,83000,Petrol,Customer,Automatic
Audi A6  2020 40 TFSI S-Line,2020,26500000,26500000,14006,Petrol,Customer,Automatic
Audi A6  2020 45 TFSI quattro S tronic,2020,32500000,32500000,74000,Hybrid,Customer,Automatic
Audi A6 4th (C7) Generation 2015 1.8 TFSI ,2015,13000000,13000000,113872,Petrol,PakWheels,Automatic
Audi A6 4th (C7) Generation 2015 1.8 TFSI Business Class Edition,2015,12500000,12500000,65000,Petrol,Customer,Automatic
Audi A6 4th (C7) Generation 2016 1.8 TFSI ,2016,14500000,14500000,89000,Petrol,Customer,Automatic
Audi A6 4th (C7) Generation 2016 1.8 TFSI Business Class Edition,2016,13500000,13500000,100000,Petrol,Customer,Automatic
Audi A6 4th (C7) Generation 2017 1.8 TFSI Business Class Edition,2017,18800000,18800000,34000,Petrol,Customer,Automatic
Audi A6 4th (C7) Generation 2018 1.8 TFSI Business Class Edition,2018,15500000,15500000,70000,Petrol,Customer,Automatic
Audi Q2 1st (4L) Generation 2019 1.0 TFSI Standard Line,2019,9300000,9300000,45000,Petrol,Customer,Automatic
Audi Q3  2014 1.4 TFSI,2014,6000000,6000000,72000,Petrol,Customer,Automatic
Audi Q3  2016 1.4 TFSI,2016,7500000,7500000,125000,Petrol,Customer,Automatic
Audi Q3  2017 Sport 1.4 TFSI,2017,7500000,7500000,113536,Petrol,PakWheels,Automatic
