Car_Name,Present_Price,Selling_Price,City,Year,Kms_Driven,Fuel_Type,HorsePower,Transmission,Certified,Seller_Type,Distance2
Adam Revo  2006 1051cc,PKR 3.2 lacs,320000,Okara,2006,"50,000km",Petrol,1100cc,Manual,Not Certified,Customer,50000
Adam Revo  2023 ,PKR 1.38 crore,13799999,Karachi,2023,"18,000km",Diesel,2800cc,Automatic,Not Certified,Customer,18000
Audi A1  1985 ,PKR 3 lacs,300000,Multan,1985,"200,000km",Petrol,1000cc,Manual,Not Certified,Customer,200000
Audi A3  2014 1.8 TFSI Quattro,PKR 62.5 lacs,6250000,Multan,2014,"67,000km",Petrol,1800cc,Automatic,Not Certified,Customer,67000
Audi A3  2014 1.8 TFSI quattro,PKR 67 lacs,6700000,Lahore,2014,"159,000km",Petrol,1800cc,Automatic,Not Certified,Customer,159000
Audi A3  2015 1.2 TFSI Design Line ,PKR 67 lacs,6700000,Karachi,2015,"90,000km",Petrol,1200cc,Automatic,Not Certified,Customer,90000
Audi A3  2015 1.2 TFSI Exclusive Line,PKR 65 lacs,6500000,Lahore,2015,"160,000km",Petrol,1200cc,Automatic,Not Certified,Customer,160000
Audi A3  2015 1.8 TFSI,PKR 73.5 lacs,7350000,Faisalabad,2015,"85,000km",Petrol,1800cc,Automatic,Not Certified,Customer,85000
Audi A3  2016 1.2 TFSI Exclusive Line,PKR 59.5 lacs,5950000,Islamabad,2016,"80,000km",Petrol,1200cc,Automatic,Not Certified,Customer,80000
Audi A3  2016 1.8 TFSI,PKR 75 lacs,7500000,Islamabad,2016,"60,000km",Petrol,1800cc,Automatic,Not Certified,Customer,60000
Audi A3  2017 1.2 TFSI,PKR 74 lacs,7400000,Karachi,2017,"65,000km",Petrol,1200cc,Automatic,Not Certified,Customer,65000
Audi A3  2017 1.2 TFSI Design Line ,PKR 73 lacs,7300000,Lahore,2017,"78,000km",Petrol,1200cc,Automatic,Not Certified,Customer,78000
Audi A3  2017 1.2 TFSI Exclusive Line,PKR 71.5 lacs,7150000,Lahore,2017,"72,500km",Petrol,1200cc,Automatic,Not Certified,Customer,72500
Audi A3  2017 1.2 TFSI Standard,PKR 70 lacs,7000000,Multan,2017,"69,000km",Petrol,1200cc,Automatic,Not Certified,Customer,69000
Audi A3  2018 1.2 TFSI,PKR 92 lacs,9200000,Lahore,2018,"82,000km",Petrol,1200cc,Automatic,Not Certified,Customer,82000
Audi A3  2018 1.2 TFSI Design Line ,PKR 1.05 crore,10500000,Multan,2018,"74,000km",Petrol,1200cc,Automatic,Not Certified,Customer,74000
Audi A3  2018 1.2 TFSI Exclusive Line,PKR 1.02 crore,10200000,Karachi,2018,"18,100km",Petrol,1200cc,Automatic,Not Certified,Customer,18100
Audi A3  2018 1.2 TFSI Standard,PKR 82 lacs,8200000,Lahore,2018,"44,000km",Petrol,1200cc,Automatic,Not Certified,Customer,44000
Audi A3  2019 ,PKR 95 lacs,9500000,Karachi,2019,"26,000km",Petrol,1200cc,Automatic,Not Certified,Customer,26000
Audi A3  2019 1.2 TFSI Design Line ,PKR 79 lacs,7900000,Lahore,2019,"74,000km",Petrol,1200cc,Automatic,Not Certified,Customer,74000
Audi A3  2019 1.2 TFSI Standard,PKR 80 lacs,8000000,Lahore,2019,"63,000km",Petrol,1200cc,Automatic,Not Certified,Customer,63000
Audi A4  2010 ,PKR 44.5 lacs,4450000,Karachi,2010,"89,000km",Petrol,1800cc,Automatic,Not Certified,Customer,89000
Audi A4  2014 1.8 TFSI,PKR 75 lacs,7500000,Lahore,2014,"110,000km",Petrol,1800cc,Automatic,Not Certified,Customer,110000
Audi A4  2016 1.4 TFSI ,PKR 1.12 crore,11200000,Islamabad,2016,"120,000km",Petrol,1400cc,Automatic,Not Certified,Customer,120000
Audi A4  2016 S-Line Competition,PKR 1.16 crore,11600000,Karachi,2016,"51,000km",Petrol,1400cc,Automatic,Not Certified,Customer,51000
Audi A4  2017 1.4 TFSI ,PKR 1.25 crore,12500000,Lahore,2017,"148,000km",Petrol,1400cc,Automatic,Not Certified,Customer,148000
Audi A4  2017 35 TFSI,PKR 1.28 crore,12800000,Karachi,2017,"10,000km",Petrol,2000cc,Automatic,Not Certified,Customer,10000
Audi A4  2018 1.4 TFSI ,PKR 1.39 crore,13899999,Lahore,2018,"54,000km",Petrol,1400cc,Automatic,Not Certified,Customer,54000
Audi A4  2019 1.4 TFSI ,PKR 1.55 crore,15500000,Gujranwala,2019,"42,000km",Petrol,1400cc,Automatic,Not Certified,Customer,42000
Audi A4  2019 35 TFSI,PKR 1.25 crore,12500000,Lahore,2019,"125,660km",Petrol,2000cc,Automatic,Not Certified,Customer,125660
Audi A4 4th (B8) Generation 2007 1.8T Cabriolet,PKR 47 lacs,4700000,Mardan,2007,"106,000km",Petrol,1800cc,Automatic,Not Certified,Customer,106000
Audi A4 4th (B8) Generation 2011 1.8 TFSI,PKR 67 lacs,6700000,Lahore,2011,"165,251km",Petrol,1800cc,Automatic,Not Certified,Customer,165251
Audi A4 4th (B8) Generation 2011 S-Line Competition,PKR 70 lacs,7000000,Karachi,2011,"166,835km",Petrol,2000cc,Automatic,Not Certified,PakWheels,166835
Audi A4 4th (B8) Generation 2012 1.8 TFSI,PKR 74 lacs,7400000,Lahore,2012,"167,000km",Petrol,1800cc,Automatic,Not Certified,Customer,167000
Audi A4 4th (B8) Generation 2013 1.8 TFSI,PKR 74 lacs,7400000,Lahore,2013,"76,000km",Petrol,1800cc,Automatic,Not Certified,Customer,76000
Audi A4 4th (B8) Generation 2013 1.8T Cabriolet,PKR 72.5 lacs,7250000,Lahore,2013,"104,000km",Petrol,1800cc,Automatic,Not Certified,Customer,104000
Audi A4 4th (B8) Generation 2015 1.8 TFSI,PKR 65 lacs,6500000,Karachi,2015,"87,000km",Petrol,1800cc,Automatic,Not Certified,Customer,87000
Audi A4 4th (B8) Generation 2015 S-Line Competition,PKR 74.9 lacs,7490000,Islamabad,2015,"95,000km",Petrol,2000cc,Automatic,Not Certified,Customer,95000
Audi A4 4th (B8) Generation 2016 2.0 TFSI,PKR 1.03 crore,10300000,Lahore,2016,"146,000km",Petrol,2000cc,Automatic,Not Certified,Customer,146000
Audi A5  2009 1.8 TFSI,PKR 73 lacs,7300000,Lahore,2009,"114,000km",Petrol,1800cc,Automatic,Not Certified,Customer,114000
Audi A5  2010 2.0 TFSI Quattro,PKR 89.5 lacs,8950000,Lahore,2010,"47,000km",Petrol,2000cc,Automatic,Not Certified,Customer,47000
Audi A5  2010 S-Line Competition,PKR 1.1 crore,11000000,Islamabad,2010,"80,000km",Petrol,2000cc,Automatic,Not Certified,Customer,80000
Audi A5  2013 1.8 TFSI,PKR 65 lacs,6500000,Islamabad,2013,"75,554km",Petrol,1800cc,Automatic,Not Certified,Customer,75554
Audi A5  2013 2.0 TFSI quattro,PKR 70 lacs,7000000,Rawalpindi,2013,"75,492km",Petrol,2000cc,Automatic,Not Certified,Customer,75492
Audi A5  2014 1.8 TFSI,PKR 95 lacs,9500000,Lahore,2014,"44,643km",Petrol,1800cc,Automatic,Not Certified,PakWheels,44643
Audi A5  2014 2.0 TFSI quattro,PKR 69.9 lacs,6990000,Islamabad,2014,"113,000km",Petrol,2000cc,Automatic,Not Certified,Customer,113000
Audi A5  2018 1.4 TFSI Sportback,PKR 1.84 crore,18400000,Lahore,2018,"28,500km",Petrol,1400cc,Automatic,Not Certified,Customer,28500
Audi A5  2019 1.4 TFSI Sportback,PKR 1.9 crore,19000000,Gujranwala,2019,"15,000km",Petrol,1400cc,Automatic,Not Certified,Customer,15000
Audi A5  2019 40 TFSI quattro S tronic,PKR 1.8 crore,18000000,Lahore,2019,"39,000km",Petrol,2000cc,Automatic,Not Certified,Customer,39000
Audi A6  2015 ,PKR 1.2 crore,12000000,Karachi,2015,"62,000km",Petrol,3500cc,Automatic,Not Certified,Customer,62000
Audi A6  2015 1.8 TFSI ,PKR 1.07 crore,10700000,Mardan,2015,"153,000km",Petrol,1800cc,Automatic,Not Certified,Customer,153000
Audi A6  2015 1.8 TFSI Business Class Edition,PKR 1.15 crore,11500000,Lahore,2015,"145,000km",Petrol,1800cc,Automatic,Not Certified,Customer,145000
Audi A6  2016 3.0 TFSI quattro,PKR 1.2 crore,12000000,Karachi,2016,"66,000km",Petrol,3000cc,Automatic,Not Certified,Customer,66000
Audi A6  2017 ,PKR 1.62 crore,16200000,Islamabad,2017,"47,000km",Petrol,1800cc,Automatic,Not Certified,Customer,47000
Audi A6  2017 1.8 TFSI Business Class Edition,PKR 1.55 crore,15500000,Islamabad,2017,"76,541km",Petrol,1800cc,Automatic,Not Certified,Customer,76541
Audi A6  2018 1.8 TFSI ,PKR 1.72 crore,17200000,Lahore,2018,"49,120km",Petrol,1800cc,Automatic,Not Certified,Customer,49120
Audi A6  2018 1.8 TFSI Business Class Edition,PKR 1.65 crore,16500000,Rawalpindi,2018,"83,000km",Petrol,1800cc,Automatic,Certified,Customer,83000
Audi A6  2020 40 TFSI S-Line,PKR 2.65 crore,26500000,Karachi,2020,"14,006km",Petrol,2000cc,Automatic,Not Certified,Customer,14006
Audi A6  2020 45 TFSI quattro S tronic,PKR 3.25 crore,32500000,Jhelum,2020,"74,000km",Hybrid,2000cc,Automatic,Not Certified,Customer,74000
Audi A6 4th (C7) Generation 2015 1.8 TFSI ,PKR 1.3 crore,13000000,Lahore,2015,"113,872km",Petrol,1800cc,Automatic,Not Certified,PakWheels,113872
Audi A6 4th (C7) Generation 2015 1.8 TFSI Business Class Edition,PKR 1.25 crore,12500000,Karachi,2015,"65,000km",Petrol,1800cc,Automatic,Not Certified,Customer,65000
Audi A6 4th (C7) Generation 2016 1.8 TFSI ,PKR 1.45 crore,14500000,Rawalpindi,2016,"89,000km",Petrol,1800cc,Automatic,Not Certified,Customer,89000
Audi A6 4th (C7) Generation 2016 1.8 TFSI Business Class Edition,PKR 1.35 crore,13500000,Islamabad,2016,"100,000km",Petrol,1800cc,Automatic,Not Certified,Customer,100000
Audi A6 4th (C7) Generation 2017 1.8 TFSI Business Class Edition,PKR 1.88 crore,18800000,Islamabad,2017,"34,000km",Petrol,1800cc,Automatic,Not Certified,Customer,34000
Audi A6 4th (C7) Generation 2018 1.8 TFSI Business Class Edition,PKR 1.55 crore,15500000,Lahore,2018,"70,000km",Petrol,1800cc,Automatic,Not Certified,Customer,70000
Audi Q2 1st (4L) Generation 2019 1.0 TFSI Standard Line,PKR 93 lacs,9300000,Lahore,2019,"45,000km",Petrol,1000cc,Automatic,Not Certified,Customer,45000
