Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Toyota C-HR  2017 G-LED,PKR 69 lacs,6900000,Islamabad,2017,"114,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,114000
KIA Sportage  2022 FWD,PKR 71 lacs,7100000,Lahore,2022,"15,000km",Petrol,2000cc,Automatic,Not Certified,Customer,15000
Suzuki Every  2019 GA,PKR 25.5 lacs,2550000,Karachi,2019,"148,000km",Petrol,660cc,Automatic,Not Certified,Customer,148000
Toyota Hilux  2021 Revo G Automatic 2.8,PKR 1.08 crore,10800000,Karachi,2021,"46,019km",Diesel,2800cc,Automatic,Certified,PakWheels,46019
Honda BR-V  2022 i-VTEC S,PKR 53 lacs,5300000,Faisalabad,2022,"18,400km",Petrol,1500cc,Automatic,Not Certified,Customer,18400
Honda Civic  2021 Oriel 1.8 i-VTEC CVT,PKR 61.95 lacs,6195000,Islamabad,2021,"51,000km",Petrol,1800cc,Automatic,Not Certified,Customer,51000
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior,PKR 57.5 lacs,5750000,Karachi,2021,"46,000km",Petrol,1800cc,Automatic,Not Certified,Customer,46000
Toyota Corolla Cross  2021 Hybrid Z,PKR 1.28 crore,12800000,Islamabad,2021,"70,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,70000
Toyota Yaris Hatchback  2021 ,PKR 52.9 lacs,5290000,Karachi,2021,"21,000km",Petrol,1000cc,Automatic,Not Certified,Customer,21000
Toyota Land Cruiser  1995 VX Limited 4.2D,PKR 42.75 lacs,4275000,Karachi,1995,"100,000km",Diesel,4200cc,Automatic,Not Certified,Customer,100000
Daihatsu Copen  2021 Robe S,PKR 56.9 lacs,5690000,Karachi,2021,"88,000km",Petrol,660cc,Automatic,Not Certified,Customer,88000
Toyota Prius  2013 S LED Edition 1.8,PKR 45.75 lacs,4575000,Lahore,2013,"85,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,85000
Suzuki Swift  2018 DLX 1.3 Navigation ,PKR 25.3 lacs,2530000,Rawalpindi,2018,"69,000km",Petrol,1300cc,Manual,Not Certified,Customer,69000
Nissan Juke  2012 15RX Premium Personalize Package,PKR 35.5 lacs,3550000,Lahore,2012,"120,000km",Petrol,1500cc,Automatic,Not Certified,Customer,120000
Toyota Fortuner  2017 2.7 VVTi,PKR 1.04 crore,10400000,Karachi,2017,"60,000km",Petrol,2700cc,Automatic,Not Certified,Customer,60000
Toyota Corolla  2012 GLi 1.3 VVTi,PKR 22.5 lacs,2250000,Lahore,2012,"160,732km",Petrol,1300cc,Manual,Not Certified,Customer,160732
Toyota Vitz  2017 F 1.0,PKR 34.5 lacs,3450000,Karachi,2017,"125,000km",Petrol,996cc,Automatic,Not Certified,Customer,125000
KIA Picanto  2024 1.0 MT,PKR 37.3 lacs,3729999,Gujranwala,2024,"3,800km",Petrol,1000cc,Manual,Not Certified,Customer,3800
Toyota Corolla  2020 Altis Grande CVT-i 1.8,PKR 64.5 lacs,6450000,MirpurAK,2020,"64,000km",Petrol,1800cc,Automatic,Not Certified,Customer,64000
Toyota Corolla  2009 XLi VVTi,PKR 21.5 lacs,2150000,Taxila,2009,"200,000km",Petrol,1300cc,Manual,Not Certified,Customer,200000
Toyota Corolla  2013 Altis Cruisetronic 1.6,PKR 32.25 lacs,3225000,Lahore,2013,"133,000km",Petrol,1600cc,Automatic,Not Certified,Customer,133000
Toyota Aqua  2015 S,PKR 39.2 lacs,3920000,Karachi,2015,"102,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,102000
