Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Proton Saga  2022 1.3L Ace A/T,PKR 37.5 lacs,3750000,Karachi,2022,"2,017km",Petrol,1299cc,Automatic,Certified,PakWheels,2017
Suzuki Wagon R  2014 VXL,PKR 20.5 lacs,2050000,Karachi,2014,"128,551km",Petrol,1000cc,Manual,Not Certified,PakWheels,128551
Toyota C-HR  2019 G-LED,PKR 87 lacs,8700000,Karachi,2019,"32,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,32000
Chevrolet Silverado  2016 LTZ,PKR 1.5 crore,15000000,Lahore,2016,"100,000km",Petrol,5300cc,Automatic,Not Certified,Customer,100000
Tesla Model 3  2021 Standard Range Plus,PKR 1.5 crore,15000000,Lahore,2021,"11,000km",Electric,55.0kWh,Automatic,Not Certified,Customer,11000
KIA Sportage  2020 AWD,PKR 64 lacs,6400000,Multan,2020,"65,455km",Petrol,2000cc,Automatic,Not Certified,Customer,65455
Suzuki Swift  2022 GLX CVT,PKR 43.5 lacs,4350000,Karachi,2022,"23,000km",Petrol,1200cc,Automatic,Not Certified,Customer,23000
Toyota Premio  2009 X EX Package 1.8,PKR 57 lacs,5700000,Islamabad,2009,"66,000km",Petrol,1800cc,Automatic,Not Certified,Customer,66000
Toyota Corolla  2017 GLi Automatic 1.3 VVTi,PKR 34.24 lacs,3424000,Karachi,2017,"79,153km",Petrol,1300cc,Automatic,Not Certified,PakWheels,79153
Toyota Aqua  2014 S,PKR 37.95 lacs,3795000,Lahore,2014,"132,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,132000
KIA Stonic  2023 EX+,PKR 49 lacs,4900000,Karachi,2023,"22,000km",Petrol,1400cc,Automatic,Not Certified,Customer,22000
Suzuki Mehran  2009 VXR,PKR 9.35 lacs,935000,Islamabad,2009,"36,000km",Petrol,800cc,Manual,Not Certified,Customer,36000
Honda Civic  2022 1.5 VTEC Turbo Oriel,PKR 76 lacs,7600000,Haripur,2022,"44,000km",Petrol,1500cc,Automatic,Not Certified,Customer,44000
Toyota Corolla  2009 XLi VVTi,PKR 18 lacs,1800000,Faisalabad,2009,"300,000km",Petrol,1300cc,Manual,Not Certified,Customer,300000
Peugeot 2008  2023 Active,PKR 55.5 lacs,5550000,Karachi,2023,"17,390km",Petrol,1200cc,Automatic,Not Certified,Customer,17390
