Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Suzuki Every 11th Generation (JDM) 2014 PC,PKR 21 lacs,2100000,Multan,2014,"180,000km",Petrol,660cc,Automatic,Not Certified,Customer,180000
KIA Pride  1996 1.1,PKR 2.8 lacs,280000,Karachi,1996,"255,000km",Petrol,1100cc,Manual,Not Certified,Customer,255000
Toyota Aqua  2017 GS,PKR 41.9 lacs,4190000,Gujrat,2017,"139,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,139000
Toyota C-HR  2018 G-LED,PKR 89 lacs,8900000,Karachi,2018,"59,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,59000
Suzuki Mehran  2014 VXR Euro II,PKR 12 lacs,1200000,Peshawar,2014,"55,000km",Petrol,796cc,Manual,Not Certified,Customer,55000
Suzuki Mehran  2007 VX,PKR 5.57 lacs,557000,Karachi,2007,"113,000km",Petrol,800cc,Manual,Not Certified,Customer,113000
Nissan Roox  2014 ,PKR 20.5 lacs,2050000,Lahore,2014,"132,000km",Petrol,660cc,Automatic,Not Certified,Customer,132000
Suzuki Mehran  2008 VXR (CNG),PKR 4.6 lacs,459999,Karachi,2008,"21,000km",LPG,800cc,Manual,Not Certified,Customer,21000
Toyota Corolla  1998 GLi 1.6,PKR 15 lacs,1500000,Islamabad,1998,"155,000km",Petrol,1600cc,Manual,Not Certified,Customer,155000
Suzuki Alto  2005 VXR,PKR 7 lacs,700000,Karachi,2005,"25,000km",Petrol,1000cc,Manual,Not Certified,Customer,25000
Toyota Aqua  2016 ,PKR 35 lacs,3500000,Faisalabad,2016,"98,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,98000
Mercedes Benz C Class  2006 C180,PKR 29 lacs,2900000,Islamabad,2006,"142,000km",Petrol,2000cc,Automatic,Not Certified,Customer,142000
Honda Civic  2017 Oriel 1.8 i-VTEC CVT,PKR 48.5 lacs,4850000,Lahore,2017,"98,000km",Petrol,1800cc,Automatic,Not Certified,Customer,98000
Toyota Corolla  2009 XLi VVTi,PKR 25 lacs,2500000,Islamabad,2009,"12,345km",Petrol,1300cc,Manual,Not Certified,Customer,12345
Honda City  2014 ,PKR 24.5 lacs,2450000,Islamabad,2014,"460,000km",Petrol,1300cc,Manual,Not Certified,Customer,460000
Suzuki Alto  2024 VXL AGS,PKR 30.2 lacs,3020000,Bahawalpur,2024,"17,000km",Petrol,660cc,Automatic,Not Certified,Customer,17000
Proton Saga  2022 1.3L Standard M/T,PKR 26 lacs,2600000,Karachi,2022,"36,000km",Petrol,1299cc,Manual,Not Certified,Customer,36000
Mitsubishi Ek Wagon  2013 ,PKR 20 lacs,2000000,Lahore,2013,"143,000km",Petrol,660cc,Automatic,Not Certified,Customer,143000
Toyota Fortuner  2015 2.7 VVTi,PKR 82 lacs,8200000,Karachi,2015,"59,000km",Petrol,2700cc,Automatic,Not Certified,Customer,59000
Suzuki Every Wagon  2021 ,PKR 32 lacs,3200000,Sialkot,2021,"108,000km",Petrol,660cc,Automatic,Not Certified,Customer,108000
KIA Classic  2002 ,PKR 4.7 lacs,470000,Islamabad,2002,18km,Petrol,1300cc,Manual,Not Certified,Customer,18
Daihatsu Mira  2023 X SA lll,PKR 39.25 lacs,3925000,Karachi,2023,360km,Petrol,660cc,Automatic,Not Certified,Customer,360
Toyota Prius  2014 S Touring Selection My Coorde 1.8,PKR 52.55 lacs,5255000,Rawalpindi,2014,"137,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,137000
Toyota Corolla Axio  2007 ,PKR 29.5 lacs,2950000,Rawalpindi,2007,"195,000km",Petrol,1500cc,Manual,Not Certified,Customer,195000
Toyota Corolla  2018 GLi 1.3 VVTi,PKR 43.5 lacs,4350000,Islamabad,2018,"103,000km",Petrol,1300cc,Manual,Not Certified,Customer,103000
Suzuki Mehran  2011 VX,PKR 9 lacs,900000,Rawalpindi,2011,"55,000km",Petrol,800cc,Manual,Not Certified,Customer,55000
Toyota Crown  2018 ,PKR 2.3 crore,23000000,Karachi,2018,"45,000km",Petrol,2500cc,Automatic,Not Certified,Customer,45000
Toyota Land Cruiser  2013 AX G Selection,PKR 2.4 crore,24000000,Karachi,2013,"75,000km",Petrol,4600cc,Automatic,Not Certified,Customer,75000
Suzuki Mehran  2013 VX Euro II Limited Edition,PKR 10.5 lacs,1050000,Islamabad,2013,"84,000km",Petrol,796cc,Manual,Not Certified,Customer,84000
Daihatsu Mira  2023 X SA lll,PKR 37 lacs,3700000,Karachi,2023,"5,410km",Petrol,660cc,Automatic,Not Certified,PakWheels,5410
Honda Civic Reborn 2007 VTi Oriel Prosmatec 1.8 i-VTEC,PKR 27.75 lacs,2775000,Gujranwala,2007,"121,000km",Petrol,1800cc,Automatic,Not Certified,Customer,121000
United Alpha  2021 1.0 Manual,PKR 15 lacs,1500000,Sheikhupura,2021,"52,000km",Petrol,993cc,Manual,Not Certified,Customer,52000
Toyota Corolla  2021 Hybrid WxB,PKR 85 lacs,8500000,Karachi,2021,"5,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,5000
Suzuki Cultus  2021 VXL,PKR 31.75 lacs,3175000,Larkana,2021,"50,000km",Petrol,1000cc,Manual,Not Certified,Customer,50000
Toyota Vitz  2007 RS 1.5,PKR 31 lacs,3100000,Karachi,2007,"84,500km",Petrol,1500cc,Manual,Not Certified,Customer,84500
Honda Civic  2020 Oriel 1.8 i-VTEC CVT,PKR 62.5 lacs,6250000,Islamabad,2020,"60,000km",Petrol,1800cc,Automatic,Not Certified,Customer,60000
Suzuki Hustler  2016 X Turbo,PKR 25.5 lacs,2550000,Islamabad,2016,"130,000km",Petrol,660cc,Automatic,Not Certified,Customer,130000
Suzuki Cultus  2018 Auto Gear Shift,PKR 28 lacs,2800000,Jhang,2018,"82,000km",Petrol,1000cc,Automatic,Not Certified,Customer,82000
Toyota Crown  2004 Royal Saloon G,PKR 73 lacs,7300000,Islamabad,2004,"100,000km",Petrol,3000cc,Automatic,Not Certified,Customer,100000
Suzuki Alto  2010 VXR,PKR 10.4 lacs,1040000,Faisalabad,2010,"225,000km",Petrol,1000cc,Manual,Not Certified,Customer,225000
Toyota Corolla  2014 XLi VVTi Limited Edition,PKR 30 lacs,3000000,Mansehra,2014,"140,000km",Petrol,1300cc,Manual,Not Certified,Customer,140000
Suzuki Khyber  1991 GA,PKR 2.3 lacs,229999,Sheikhupura,1991,"100,000km",Petrol,1000cc,Manual,Not Certified,Customer,100000
Prince Pearl  2021 MT,PKR 10 lacs,1000000,Sukkur,2021,"100,000km",Petrol,800cc,Manual,Not Certified,Customer,100000
Toyota Corolla  1994 SE Limited,PKR 19.5 lacs,1950000,Mardan,1994,1km,Petrol,1500cc,Automatic,Not Certified,Customer,1
MG ZS EV  2024 MCE Essence,PKR 1.31 crore,13100000,Lahore,2024,265km,Electric,51.0kWh,Automatic,Not Certified,Customer,265
Toyota Fortuner  2015 TRD Sportivo,PKR 79.5 lacs,7950000,Lahore,2015,"73,000km",Petrol,2700cc,Automatic,Not Certified,Customer,73000
Honda City  2006 i-DSI,PKR 16.2 lacs,1620000,Lahore,2006,"215,000km",Petrol,1300cc,Manual,Not Certified,Customer,215000
