Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Suzuki Wagon R  2020 VXL,PKR 24.4 lacs,2440000,Lahore,2020,"62,000km",Petrol,1000cc,Manual,Not Certified,Customer,62000
Jeep Wrangler  1981 ,PKR 8 lacs,800000,Haripur,1981,"11,111km",Diesel,1800cc,Manual,Not Certified,Customer,11111
Toyota Corolla  2020 GLi 1.3 VVTi,PKR 44.9 lacs,4490000,Islamabad,2020,"78,500km",Petrol,1300cc,Manual,Not Certified,Customer,78500
Suzuki Mehran  1990 VX,PKR 3.25 lacs,325000,Islamabad,1990,"79,000km",Petrol,800cc,Manual,Not Certified,Customer,79000
Suzuki Xbee  2018 MX,PKR 39 lacs,3900000,Karachi,2018,"95,000km",Hybrid,1000cc,Automatic,Not Certified,Customer,95000
Honda City  2001 EXi,PKR 10.65 lacs,1065000,Lahore,2001,"300,000km",Petrol,1300cc,Manual,Not Certified,Customer,300000
Daihatsu Rocky  1997 ,PKR 20 lacs,2000000,Mansehra,1997,"10,000km",Diesel,2800cc,Manual,Not Certified,Customer,10000
Toyota Corolla  2022 Altis X Automatic 1.6 Special Edition,PKR 62 lacs,6200000,Kotaddu,2022,"34,400km",Petrol,1598cc,Automatic,Not Certified,Customer,34400
Suzuki Alto  2020 S Package,PKR 31.75 lacs,3175000,Islamabad,2020,"26,380km",Petrol,660cc,Automatic,Not Certified,Customer,26380
Toyota Corolla  1982 DX,PKR 5.6 lacs,560000,Haripur,1982,"123,456km",Petrol,1300cc,Manual,Not Certified,Customer,123456
Suzuki Khyber  1998 GA,PKR 3.2 lacs,320000,Karachi,1998,"12,345km",Petrol,1000cc,Manual,Not Certified,Customer,12345
Toyota Vitz  2012 F 1.0,PKR 26.5 lacs,2650000,Islamabad,2012,"115,000km",Petrol,1000cc,Automatic,Not Certified,Customer,115000
Toyota Corolla  2020 GLi 1.3 VVTi,PKR 50 lacs,5000000,Islamabad,2020,"56,000km",Petrol,1300cc,Manual,Not Certified,Customer,56000
Suzuki Cultus  2007 VXR,PKR 9.5 lacs,950000,Islamabad,2007,"100,000km",Petrol,1000cc,Manual,Not Certified,Customer,100000
Suzuki Every Wagon  2015 ,PKR 16 lacs,1600000,ShorkotCantt,2015,"120,000km",Petrol,660cc,Automatic,Not Certified,Customer,120000
Toyota Corolla  1987 SE Saloon,PKR 12.25 lacs,1225000,Islamabad,1987,"290,000km",Petrol,1600cc,Manual,Not Certified,Customer,290000
Toyota Corolla 8th (E110) Generation 2001 XE Limited,PKR 12.55 lacs,1255000,Karachi,2001,"12,345km",Petrol,1300cc,Manual,Not Certified,Customer,12345
Honda Civic  2018 Oriel 1.8 i-VTEC CVT,PKR 53.49 lacs,5349000,Khanewal,2018,"50,000km",Petrol,1800cc,Automatic,Not Certified,Customer,50000
Honda City 5th (GM2) Generation 2016 1.3 i-VTEC,PKR 26.7 lacs,2670000,Islamabad,2016,"99,400km",Petrol,1300cc,Manual,Not Certified,Customer,99400
Toyota Vitz  2010 F 1.0,PKR 22.5 lacs,2250000,Lahore,2010,"177,000km",Petrol,1000cc,Automatic,Not Certified,Customer,177000
Toyota Corolla  2016 Altis Automatic 1.6,PKR 37.25 lacs,3725000,Lahore,2016,"182,000km",Petrol,1600cc,Automatic,Not Certified,Customer,182000
Daihatsu Cuore  2008 CX Eco,PKR 9 lacs,900000,Okara,2008,"100,000km",Petrol,800cc,Manual,Not Certified,Customer,100000
Suzuki Ravi  2016 Euro II,PKR 8 lacs,800000,Layyah,2016,"720,000km",Petrol,800cc,Manual,Not Certified,Customer,720000
Suzuki Alto  2010 VXR,PKR 10.75 lacs,1075000,Lahore,2010,"150,000km",Petrol,1000cc,Manual,Not Certified,Customer,150000
Suzuki Mehran  2017 VXR Euro II,PKR 12.95 lacs,1295000,Faisalabad,2017,"92,000km",Petrol,796cc,Manual,Not Certified,Customer,92000
Suzuki Cultus  2005 VXR,PKR 8.3 lacs,830000,Rawalpindi,2005,"150,000km",Petrol,1000cc,Manual,Not Certified,Customer,150000
Honda Civic Rebirth 2014 VTi Prosmatec 1.8 i-VTEC,PKR 36.4 lacs,3640000,Burewala,2014,"155,000km",Petrol,1800cc,Automatic,Not Certified,Customer,155000
